op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,3797.668,4011.887,0.062,80.000,323.125,120.141,239.859,810.000
enc-1st-layernorm,256.079,988.257,80.000,160.000,0.000,80.125,0.000,640.000
enc-attention-qkv,4869.133,6909.251,160.000,200.000,18.750,120.000,80.000,440.000
enc-attention-score,2074.409,3912.961,200.000,1144.000,0.000,1024.000,1024.000,2168.000
enc-attention-softmax,2092.344,2533.805,1144.000,1144.000,0.000,1024.000,0.000,3072.000
enc-attention-dropout,3789.079,3173.971,1144.000,1144.000,0.000,1536.000,0.000,4096.000
enc-attention-context,2157.122,3888.130,1144.000,120.000,0.000,40.000,40.000,1144.000
enc-attention-dense,3578.168,1420.313,120.000,160.005,6.250,80.000,0.000,280.000
enc-post-attention-dropout,839.794,457.174,160.005,80.000,0.000,120.000,80.000,384.000
enc-2nd-layernorm,241.512,943.792,80.000,160.000,0.000,80.125,0.000,640.000
enc-MLP-GEMM-1,6018.609,7876.569,160.000,240.010,25.000,160.000,0.000,560.000
enc-MLP-gelu,419.039,818.700,240.010,240.000,0.000,160.000,0.000,704.000
enc-MLP-GEMM-2,8053.708,5666.119,240.000,160.005,25.000,80.000,0.000,400.000
enc-post-MLP-dropout,808.948,456.309,160.005,80.000,0.000,120.000,80.000,384.000
final-layernorm,455.648,928.098,80.000,80.000,0.000,160.125,0.000,320.000
gpt-post-process,116044.062,101995.736,80.000,0.000,313.125,4008.203,2003.797,0.000
