op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,525.528,2066.630,0.008,10.000,323.125,15.018,34.982,354.000
enc-1st-layernorm,99.891,196.224,10.000,20.000,0.000,10.016,0.000,80.000
enc-attention-qkv,1667.589,617.534,15.000,40.000,18.750,30.000,0.000,0.000
enc-attention-score,243.026,599.062,30.000,148.000,0.000,128.000,128.000,276.000
enc-attention-softmax,259.691,324.625,148.000,148.000,0.000,128.000,0.000,384.000
enc-attention-dropout,466.883,403.225,148.000,148.000,0.000,192.000,0.000,512.000
enc-attention-context,303.274,537.503,148.000,20.000,0.000,5.000,15.000,128.000
enc-attention-dense,668.567,182.009,20.000,25.005,6.250,10.000,0.000,50.000
enc-post-attention-dropout,201.905,103.438,25.005,15.000,0.000,15.000,15.000,80.000
enc-2nd-layernorm,87.565,203.443,15.000,25.000,0.000,10.016,0.000,80.000
enc-MLP-GEMM-1,779.694,1222.962,25.000,35.010,25.000,20.000,0.000,70.000
enc-MLP-gelu,57.644,115.573,35.010,35.000,0.000,20.000,0.000,144.000
enc-MLP-GEMM-2,1268.238,715.321,35.000,25.005,25.000,10.000,0.000,50.000
enc-post-MLP-dropout,109.285,132.573,25.005,15.000,0.000,15.000,15.000,80.000
final-layernorm,98.413,585.067,15.000,15.000,0.000,10.016,0.000,40.000
gpt-post-process,14707.804,12367.505,15.000,5.000,313.125,502.025,251.975,0.000
