op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,28904.927,1207.578,0.016,20.000,88.281,30.035,59.965,238.000
enc-1st-layernorm,70.006,245.386,20.000,40.000,0.000,20.031,0.000,160.000
enc-attention-qkv,338.441,29278.100,40.000,27.500,4.688,7.812,0.000,60.000
enc-attention-score,195.974,301.933,27.500,86.500,0.000,64.000,64.000,128.000
enc-attention-softmax,137.675,166.261,86.500,86.500,0.000,64.000,0.000,192.000
enc-attention-dropout,235.671,203.913,86.500,86.500,0.000,96.000,0.000,256.000
enc-attention-context,155.854,364.631,86.500,22.500,0.000,2.500,0.000,64.000
enc-attention-dense,28727.663,179.768,22.500,40.005,1.562,20.000,0.000,60.000
enc-post-attention-dropout,206.918,122.207,40.005,20.000,0.000,30.000,20.000,144.000
enc-2nd-layernorm,99.713,245.786,20.000,40.000,0.000,20.031,0.000,160.000
enc-MLP-GEMM-1,355.178,28804.845,40.000,30.002,6.250,10.000,0.000,50.000
enc-MLP-gelu,58.389,148.499,30.002,30.000,0.000,10.000,0.000,80.000
enc-MLP-GEMM-2,28941.530,351.942,30.000,40.005,6.250,20.000,0.000,70.000
enc-post-MLP-dropout,206.482,130.200,40.005,20.000,0.000,30.000,20.000,144.000
final-layernorm,133.252,842.673,20.000,20.000,0.000,40.031,0.000,80.000
gpt-post-process,8123.267,33786.851,20.000,0.000,78.281,250.551,127.449,0.000
