op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,2015.638,2826.381,0.031,40.000,333.125,50.035,109.965,522.000
enc-1st-layernorm,147.814,509.715,40.000,80.000,0.000,40.031,0.000,160.000
enc-attention-qkv,5892.396,3205.669,50.000,160.000,18.750,120.000,120.000,120.000
enc-attention-score,849.169,2450.073,100.000,336.000,0.000,256.000,256.000,30.000
enc-attention-softmax,2209.651,4088.837,336.000,336.000,0.000,256.000,256.000,512.000
enc-attention-dropout,803.155,729.483,336.000,336.000,0.000,320.000,0.000,512.000
enc-attention-context,1028.913,1915.890,336.000,80.000,0.000,10.000,0.000,266.000
enc-attention-dense,2232.850,880.063,80.000,110.010,6.250,40.000,0.000,50.000
enc-post-attention-dropout,382.638,222.528,110.010,70.000,0.000,50.000,30.000,160.000
enc-2nd-layernorm,141.323,516.135,70.000,110.000,0.000,40.031,0.000,160.000
enc-MLP-GEMM-1,3618.866,5435.109,110.000,110.010,25.000,40.000,0.000,80.000
enc-MLP-gelu,112.730,226.885,110.010,110.000,0.000,40.000,0.000,160.000
enc-MLP-GEMM-2,4808.700,3703.737,110.000,110.010,25.000,40.000,0.000,80.000
enc-post-MLP-dropout,383.031,222.927,110.010,70.000,0.000,50.000,30.000,160.000
final-layernorm,246.900,658.852,70.000,70.000,0.000,80.031,0.000,80.000
gpt-post-process,49837.077,46355.957,70.000,30.000,313.125,502.051,0.000,0.000
