op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,6192.589,5551.785,0.125,160.000,333.125,200.141,439.859,970.000
enc-1st-layernorm,593.507,2136.731,160.000,320.000,0.000,160.125,0.000,640.000
enc-attention-qkv,11300.933,14980.638,320.000,280.000,18.750,120.000,0.000,280.000
enc-attention-score,3938.127,8547.193,280.000,1224.000,0.000,1024.000,1024.000,120.000
enc-attention-softmax,8793.533,16282.845,1224.000,1224.000,0.000,1024.000,1024.000,2048.000
enc-attention-dropout,3300.738,2892.435,1224.000,1224.000,0.000,1280.000,0.000,2048.000
enc-attention-context,4226.178,7497.633,1224.000,200.000,0.000,40.000,40.000,1064.000
enc-attention-dense,6946.588,3479.761,200.000,320.010,6.250,160.000,0.000,200.000
enc-post-attention-dropout,1526.415,865.459,320.010,160.000,0.000,200.000,160.000,400.000
enc-2nd-layernorm,552.124,1958.132,160.000,320.000,0.000,160.125,0.000,640.000
enc-MLP-GEMM-1,14561.874,17671.692,320.000,320.010,25.000,160.000,0.000,320.000
enc-MLP-gelu,429.678,818.986,320.010,320.000,0.000,160.000,0.000,400.000
enc-MLP-GEMM-2,18072.182,13893.408,320.000,320.010,25.000,160.000,0.000,320.000
enc-post-MLP-dropout,1495.045,865.638,320.010,160.000,0.000,200.000,160.000,400.000
final-layernorm,968.063,1357.800,160.000,160.000,0.000,320.125,0.000,320.000
gpt-post-process,197339.547,182838.720,160.000,0.000,313.125,2004.203,0.000,0.000
