op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,21965.235,4051.179,0.016,56.000,227.828,70.018,167.982,340.000
enc-1st-layernorm,320.518,1040.870,56.000,112.000,0.000,56.016,0.000,224.000
enc-attention-qkv,64840.698,6115.633,63.000,224.000,73.500,168.000,168.000,168.000
enc-attention-score,651.246,1365.817,126.000,224.000,0.000,112.000,112.000,0.000
enc-attention-softmax,1497.227,2610.844,224.000,224.000,0.000,112.000,112.000,224.000
enc-attention-dropout,511.879,474.995,224.000,224.000,0.000,140.000,0.000,224.000
enc-attention-context,711.530,1475.108,224.000,112.000,0.000,7.000,0.000,112.000
enc-attention-dense,21328.002,1801.020,112.000,161.027,24.500,56.000,0.000,56.000
enc-post-attention-dropout,779.802,451.070,161.027,105.000,0.000,70.000,42.000,152.000
enc-2nd-layernorm,322.312,1039.648,105.000,161.000,0.000,56.016,0.000,224.000
enc-MLP-GEMM-1,8839.047,26433.647,161.000,133.014,98.000,28.000,0.000,84.000
enc-MLP-gelu,113.618,225.049,133.014,133.000,0.000,28.000,0.000,94.000
enc-MLP-GEMM-2,26639.503,7493.502,133.000,161.027,98.000,56.000,0.000,84.000
enc-post-MLP-dropout,777.370,450.963,161.027,105.000,0.000,70.000,42.000,152.000
final-layernorm,321.525,746.197,105.000,105.000,0.000,56.016,0.000,112.000
gpt-post-process,14484.066,32318.908,105.000,49.000,171.828,50.025,0.000,0.000
