op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,9895.217,2115.655,0.062,32.000,106.188,40.070,87.930,244.000
enc-1st-layernorm,203.156,516.236,32.000,64.000,0.000,32.062,0.000,128.000
enc-attention-qkv,27464.783,2297.014,48.000,128.000,6.000,96.000,96.000,112.000
enc-attention-score,1942.456,3282.082,96.000,576.000,0.000,512.000,512.000,48.000
enc-attention-softmax,6867.415,11892.718,576.000,576.000,0.000,512.000,512.000,1024.000
enc-attention-dropout,2313.060,2167.499,576.000,576.000,0.000,640.000,0.000,1024.000
enc-attention-context,1944.155,3239.685,576.000,64.000,0.000,16.000,16.000,528.000
enc-attention-dense,9003.365,591.230,64.000,80.004,2.000,32.000,0.000,48.000
enc-post-attention-dropout,452.799,261.664,80.004,48.000,0.000,40.000,24.000,100.000
enc-2nd-layernorm,130.284,516.391,48.000,80.000,0.000,32.062,0.000,128.000
enc-MLP-GEMM-1,2757.746,10829.180,80.000,112.008,8.000,64.000,0.000,96.000
enc-MLP-gelu,258.207,482.357,112.008,112.000,0.000,64.000,0.000,164.000
enc-MLP-GEMM-2,10684.413,2384.412,112.000,80.004,8.000,32.000,0.000,96.000
enc-post-MLP-dropout,445.920,260.061,80.004,48.000,0.000,40.000,24.000,100.000
final-layernorm,251.913,596.553,48.000,48.000,0.000,64.062,0.000,64.000
gpt-post-process,40673.238,39232.486,48.000,16.000,98.188,786.102,0.000,0.000
