op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,14713.103,3943.706,0.031,40.000,333.125,50.035,109.965,522.000
enc-1st-layernorm,218.648,741.744,40.000,80.000,0.000,40.031,0.000,160.000
enc-attention-qkv,41827.905,3379.524,50.000,160.000,18.750,120.000,120.000,120.000
enc-attention-score,1059.788,2792.567,100.000,336.000,0.000,256.000,256.000,30.000
enc-attention-softmax,3410.578,5958.337,336.000,336.000,0.000,256.000,256.000,512.000
enc-attention-dropout,1163.632,1088.560,336.000,336.000,0.000,320.000,0.000,512.000
enc-attention-context,1526.374,2486.718,336.000,80.000,0.000,10.000,0.000,266.000
enc-attention-dense,13702.321,978.589,80.000,110.010,6.250,40.000,0.000,50.000
enc-post-attention-dropout,558.716,325.084,110.010,70.000,0.000,50.000,30.000,118.000
enc-2nd-layernorm,217.968,741.947,70.000,110.000,0.000,40.031,0.000,160.000
enc-MLP-GEMM-1,4169.321,16318.643,110.000,110.010,25.000,40.000,0.000,80.000
enc-MLP-gelu,161.469,313.556,110.010,110.000,0.000,40.000,0.000,118.000
enc-MLP-GEMM-2,16305.530,3687.143,110.000,110.010,25.000,40.000,0.000,80.000
enc-post-MLP-dropout,557.649,324.970,110.010,70.000,0.000,50.000,30.000,118.000
final-layernorm,371.438,847.161,70.000,70.000,0.000,80.031,0.000,80.000
gpt-post-process,55084.062,60793.126,70.000,30.000,313.125,502.051,0.000,0.000
