op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,24484.253,7519.132,0.062,80.000,646.250,100.070,239.930,1004.000
enc-1st-layernorm,434.470,1459.867,80.000,160.000,0.000,80.062,0.000,320.000
enc-attention-qkv,74329.859,12724.972,120.000,320.000,37.500,240.000,240.000,280.000
enc-attention-score,4850.030,10763.258,240.000,1184.000,0.000,1024.000,1024.000,120.000
enc-attention-softmax,13817.954,23768.550,1184.000,1184.000,0.000,1024.000,1024.000,2048.000
enc-attention-dropout,4608.065,4304.266,1184.000,1184.000,0.000,1280.000,0.000,2048.000
enc-attention-context,5953.473,9535.271,1184.000,160.000,0.000,40.000,40.000,1064.000
enc-attention-dense,24016.285,3614.616,160.000,200.010,12.500,80.000,0.000,120.000
enc-post-attention-dropout,1112.694,642.031,200.010,120.000,0.000,100.000,80.000,198.000
enc-2nd-layernorm,433.201,1458.859,120.000,200.000,0.000,80.062,0.000,320.000
enc-MLP-GEMM-1,16791.332,33913.654,200.000,280.020,50.000,160.000,0.000,240.000
enc-MLP-gelu,652.421,1208.842,280.020,280.000,0.000,160.000,0.000,358.000
enc-MLP-GEMM-2,35721.278,15269.929,280.000,200.010,50.000,80.000,0.000,240.000
enc-post-MLP-dropout,1106.173,643.915,200.010,120.000,0.000,100.000,80.000,198.000
final-layernorm,735.080,1089.233,120.000,120.000,0.000,160.062,0.000,160.000
gpt-post-process,222748.798,224462.551,120.000,40.000,626.250,2004.102,0.000,0.000
