op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,31802.791,4200.822,0.062,80.000,176.562,100.070,239.930,534.000
enc-1st-layernorm,455.433,1530.361,80.000,160.000,0.000,80.062,0.000,320.000
enc-attention-qkv,88258.243,6384.927,90.000,320.000,9.375,240.000,240.000,250.000
enc-attention-score,1126.111,2873.570,180.000,416.000,0.000,256.000,256.000,30.000
enc-attention-softmax,3500.175,6236.678,416.000,416.000,0.000,256.000,256.000,512.000
enc-attention-dropout,1225.942,1130.974,416.000,416.000,0.000,320.000,0.000,512.000
enc-attention-context,1587.421,2470.523,416.000,160.000,0.000,10.000,10.000,266.000
enc-attention-dense,28904.063,1368.165,160.000,230.010,3.125,80.000,0.000,90.000
enc-post-attention-dropout,1160.318,671.285,230.010,150.000,0.000,100.000,80.000,196.000
enc-2nd-layernorm,454.813,1531.106,150.000,230.000,0.000,80.062,0.000,320.000
enc-MLP-GEMM-1,4582.667,31510.049,230.000,190.005,12.500,40.000,0.000,120.000
enc-MLP-gelu,170.732,324.184,190.005,190.000,0.000,40.000,0.000,116.000
enc-MLP-GEMM-2,31508.762,3757.250,190.000,230.010,12.500,80.000,0.000,120.000
enc-post-MLP-dropout,1167.059,671.184,230.010,150.000,0.000,100.000,80.000,196.000
final-layernorm,770.140,1070.267,150.000,150.000,0.000,160.062,0.000,160.000
gpt-post-process,54733.461,74889.004,150.000,70.000,156.562,502.102,0.000,0.000
