op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,7294.196,3576.750,0.016,20.000,333.125,25.018,74.982,354.000
enc-1st-layernorm,114.965,392.473,20.000,40.000,0.000,20.016,0.000,80.000
enc-attention-qkv,21127.695,1797.247,25.000,80.000,18.750,60.000,60.000,60.000
enc-attention-score,500.208,1362.753,50.000,168.000,0.000,128.000,128.000,20.000
enc-attention-softmax,1755.977,3121.328,168.000,168.000,0.000,128.000,128.000,256.000
enc-attention-dropout,618.434,566.202,168.000,168.000,0.000,160.000,0.000,256.000
enc-attention-context,776.255,1289.451,168.000,40.000,0.000,5.000,0.000,128.000
enc-attention-dense,7015.258,466.377,40.000,55.010,6.250,20.000,0.000,20.000
enc-post-attention-dropout,294.733,172.251,55.010,35.000,0.000,25.000,15.000,76.000
enc-2nd-layernorm,114.924,393.021,35.000,55.000,0.000,20.016,0.000,80.000
enc-MLP-GEMM-1,2196.199,8409.935,55.000,55.010,25.000,20.000,0.000,40.000
enc-MLP-gelu,86.474,175.107,55.010,55.000,0.000,20.000,0.000,76.000
enc-MLP-GEMM-2,8346.850,1914.281,55.000,55.010,25.000,20.000,0.000,40.000
enc-post-MLP-dropout,293.678,171.989,55.010,35.000,0.000,25.000,15.000,76.000
final-layernorm,114.858,506.347,35.000,35.000,0.000,20.016,0.000,40.000
gpt-post-process,27291.709,30945.402,35.000,15.000,313.125,250.525,1.475,0.000
