op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,92581.546,8413.804,0.062,224.000,113.914,336.141,671.859,1222.000
enc-1st-layernorm,1332.790,4584.748,224.000,448.000,0.000,224.125,0.000,1792.000
enc-attention-qkv,245484.620,11063.564,252.000,896.000,36.750,672.000,672.000,2044.000
enc-attention-score,1221.097,2063.715,504.000,896.000,0.000,448.000,448.000,980.000
enc-attention-softmax,1395.613,1735.735,896.000,896.000,0.000,448.000,0.000,1344.000
enc-attention-dropout,2269.590,2079.153,896.000,896.000,0.000,672.000,0.000,1792.000
enc-attention-context,1078.326,2173.018,896.000,448.000,0.000,28.000,28.000,532.000
enc-attention-dense,80197.638,2155.221,448.000,644.014,12.250,224.000,0.000,700.000
enc-post-attention-dropout,3278.834,1888.669,644.014,420.000,0.000,336.000,224.000,952.000
enc-2nd-layernorm,1332.116,4572.839,420.000,644.000,0.000,224.125,0.000,1792.000
enc-MLP-GEMM-1,10011.172,85181.600,644.000,532.007,49.000,112.000,0.000,560.000
enc-MLP-gelu,448.275,852.489,532.007,532.000,0.000,112.000,0.000,448.000
enc-MLP-GEMM-2,85895.842,8310.044,532.000,644.014,49.000,224.000,0.000,784.000
enc-post-MLP-dropout,3283.763,1887.441,644.014,420.000,0.000,336.000,224.000,952.000
final-layernorm,2293.015,3318.411,420.000,420.000,0.000,448.125,0.000,896.000
gpt-post-process,33864.409,102060.997,420.000,196.000,85.914,392.953,199.047,0.000
