op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,3128.332,2849.638,0.016,56.000,199.828,84.035,167.965,532.000
enc-1st-layernorm,317.627,837.594,56.000,112.000,0.000,56.031,0.000,448.000
enc-attention-qkv,3616.208,5487.752,112.000,98.000,73.500,42.000,0.000,168.000
enc-attention-score,625.581,896.907,98.000,294.000,0.000,224.000,224.000,490.000
enc-attention-softmax,503.755,665.164,294.000,294.000,0.000,224.000,0.000,672.000
enc-attention-dropout,818.485,713.897,294.000,294.000,0.000,336.000,0.000,896.000
enc-attention-context,500.506,993.371,294.000,70.000,0.000,14.000,0.000,266.000
enc-attention-dense,2978.384,967.807,70.000,112.014,24.500,56.000,0.000,168.000
enc-post-attention-dropout,589.645,329.572,112.014,56.000,0.000,84.000,56.000,306.000
enc-2nd-layernorm,299.650,837.463,56.000,112.000,0.000,56.031,0.000,448.000
enc-MLP-GEMM-1,4691.660,6290.323,112.000,112.014,98.000,56.000,0.000,224.000
enc-MLP-gelu,158.316,302.160,112.014,112.000,0.000,56.000,0.000,306.000
enc-MLP-GEMM-2,6193.441,4092.431,112.000,112.014,98.000,56.000,0.000,224.000
enc-post-MLP-dropout,591.791,330.341,112.014,56.000,0.000,84.000,56.000,306.000
final-layernorm,477.147,667.137,56.000,56.000,0.000,112.031,0.000,224.000
gpt-post-process,9668.034,9850.061,56.000,0.000,171.828,196.426,101.574,0.000
