op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,996.512,1019.913,0.031,16.000,28.547,24.570,23.430,126.000
enc-1st-layernorm,67.830,188.464,16.000,32.000,0.000,16.062,0.000,128.000
enc-attention-qkv,2013.057,353.950,20.000,64.000,1.500,48.000,48.000,144.000
enc-attention-score,253.814,551.504,40.000,160.000,0.000,128.000,128.000,276.000
enc-attention-softmax,289.851,366.676,160.000,160.000,0.000,128.000,0.000,384.000
enc-attention-dropout,460.154,412.935,160.000,160.000,0.000,192.000,0.000,512.000
enc-attention-context,322.062,476.599,160.000,32.000,0.000,4.000,0.000,148.000
enc-attention-dense,747.710,132.889,32.000,44.002,0.500,16.000,0.000,48.000
enc-post-attention-dropout,176.746,109.214,44.002,28.000,0.000,24.500,7.500,128.000
enc-2nd-layernorm,68.253,187.469,28.000,44.000,0.000,16.062,0.000,128.000
enc-MLP-GEMM-1,207.525,876.892,44.000,44.002,2.000,16.000,0.000,64.000
enc-MLP-gelu,61.446,116.771,44.002,44.000,0.000,16.000,0.000,128.000
enc-MLP-GEMM-2,843.734,200.933,44.000,44.002,2.000,16.000,0.000,64.000
enc-post-MLP-dropout,176.364,102.252,44.002,28.000,0.000,24.500,7.500,128.000
final-layernorm,109.839,586.224,28.000,28.000,0.000,32.062,0.000,64.000
gpt-post-process,7507.849,4849.750,28.000,12.000,24.547,392.852,199.148,0.000
