op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,546.694,721.878,0.016,8.000,28.547,12.035,27.965,66.000
enc-1st-layernorm,72.670,127.584,8.000,16.000,0.000,8.031,11.969,72.000
enc-attention-qkv,218.689,687.885,16.000,14.000,1.500,6.000,14.000,20.000
enc-attention-score,132.608,226.158,14.000,74.000,0.000,64.000,64.000,128.000
enc-attention-softmax,151.116,190.896,74.000,74.000,0.000,64.000,0.000,192.000
enc-attention-dropout,235.718,211.126,74.000,74.000,0.000,96.000,0.000,256.000
enc-attention-context,118.613,228.071,74.000,10.000,0.000,2.000,0.000,64.000
enc-attention-dense,514.960,113.738,10.000,16.002,0.500,8.500,0.000,36.000
enc-post-attention-dropout,95.534,96.995,16.002,8.000,0.000,12.000,8.000,72.000
enc-2nd-layernorm,74.542,126.225,8.000,16.000,0.000,8.031,11.969,72.000
enc-MLP-GEMM-1,121.146,649.005,16.000,16.002,2.000,8.000,12.000,36.000
enc-MLP-gelu,57.483,129.449,16.002,16.000,0.000,8.000,12.000,68.000
enc-MLP-GEMM-2,528.973,118.899,16.000,16.002,2.000,8.000,12.000,36.000
enc-post-MLP-dropout,103.891,90.379,16.002,8.000,0.000,12.000,8.000,72.000
final-layernorm,101.757,571.513,8.000,8.000,0.000,16.031,3.969,36.000
gpt-post-process,4004.622,2726.263,8.000,0.000,24.547,196.426,101.574,0.000
