op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,172.359,1270.825,0.008,10.000,636.250,15.000,25.000,648.000
enc-1st-layernorm,54.294,95.707,10.000,20.000,0.000,10.016,0.000,80.000
enc-attention-qkv,170.404,145.942,20.000,40.000,37.500,30.000,32.000,100.000
enc-attention-score,103.247,197.262,40.000,276.000,0.000,256.000,256.000,542.000
enc-attention-softmax,174.326,280.190,276.000,276.000,0.000,256.000,0.000,768.000
enc-attention-dropout,292.438,191.790,276.000,276.000,0.000,384.000,0.000,1024.000
enc-attention-context,110.590,191.176,276.000,20.000,0.000,10.000,10.000,286.000
enc-attention-dense,79.179,93.257,20.000,20.005,12.500,10.000,0.000,40.000
enc-post-attention-dropout,107.455,70.018,20.005,10.000,0.000,15.000,15.000,80.000
enc-2nd-layernorm,56.505,98.455,10.000,20.000,0.000,10.016,0.000,80.000
enc-MLP-GEMM-1,166.756,132.680,20.000,50.020,50.000,40.000,0.000,130.000
enc-MLP-gelu,47.129,100.988,50.020,50.000,0.000,40.000,0.000,296.000
enc-MLP-GEMM-2,154.394,144.178,50.000,20.005,50.000,10.000,0.000,50.000
enc-post-MLP-dropout,104.082,69.356,20.005,10.000,0.000,15.000,15.000,80.000
final-layernorm,54.634,300.312,10.000,10.000,0.000,10.016,0.000,40.000
gpt-post-process,5413.634,3226.572,10.000,0.000,626.250,1002.025,501.975,0.000
