op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,170.851,495.726,0.016,8.000,104.000,12.000,8.000,136.000
enc-1st-layernorm,52.482,106.907,8.000,16.000,0.000,8.031,0.000,72.000
enc-attention-qkv,195.926,125.796,16.000,32.000,6.000,24.000,24.000,96.000
enc-attention-score,136.918,190.032,32.000,272.000,0.000,256.000,256.000,552.000
enc-attention-softmax,174.278,282.347,272.000,272.000,0.000,256.000,0.000,768.000
enc-attention-dropout,292.069,191.641,272.000,272.000,0.000,384.000,0.000,1024.000
enc-attention-context,113.261,182.706,272.000,16.000,0.000,8.000,12.000,272.000
enc-attention-dense,73.552,86.349,16.000,16.002,2.000,8.000,12.000,36.000
enc-post-attention-dropout,96.577,75.161,16.002,8.000,0.000,12.000,8.000,68.000
enc-2nd-layernorm,50.741,106.817,8.000,16.000,0.000,8.031,0.000,72.000
enc-MLP-GEMM-1,82.076,84.424,16.000,40.008,8.000,32.000,0.000,116.000
enc-MLP-gelu,46.146,99.087,40.008,40.000,0.000,32.000,0.000,256.000
enc-MLP-GEMM-2,79.006,87.476,40.000,16.002,8.000,8.000,0.000,68.000
enc-post-MLP-dropout,98.938,72.515,16.002,8.000,0.000,12.000,8.000,68.000
final-layernorm,80.657,402.033,8.000,8.000,0.000,16.031,3.969,36.000
gpt-post-process,3673.363,1902.968,8.000,0.000,100.000,800.051,399.949,0.000
