op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,416.756,854.999,0.008,10.000,323.125,15.018,24.982,354.000
enc-1st-layernorm,53.829,101.149,10.000,20.000,0.000,10.016,0.000,80.000
enc-attention-qkv,188.917,378.078,20.000,25.000,18.750,15.000,33.000,40.000
enc-attention-score,92.953,152.224,25.000,143.000,0.000,128.000,128.000,276.000
enc-attention-softmax,92.375,145.024,143.000,143.000,0.000,128.000,0.000,384.000
enc-attention-dropout,150.013,98.503,143.000,143.000,0.000,192.000,0.000,512.000
enc-attention-context,107.288,153.726,143.000,15.000,0.000,5.000,0.000,138.000
enc-attention-dense,311.226,104.254,15.000,20.005,6.250,10.000,0.000,30.000
enc-post-attention-dropout,103.974,74.941,20.005,10.000,0.000,15.000,15.000,80.000
enc-2nd-layernorm,55.981,114.769,10.000,20.000,0.000,10.016,0.000,80.000
enc-MLP-GEMM-1,107.461,330.043,20.000,30.010,25.000,20.000,0.000,70.000
enc-MLP-gelu,47.970,103.676,30.010,30.000,0.000,20.000,0.000,160.000
enc-MLP-GEMM-2,317.979,108.027,30.000,20.005,25.000,10.000,0.000,50.000
enc-post-MLP-dropout,101.131,75.525,20.005,10.000,0.000,15.000,15.000,80.000
final-layernorm,57.554,225.025,10.000,10.000,0.000,10.016,0.000,40.000
gpt-post-process,2920.675,1897.174,10.000,0.000,313.125,502.025,251.975,0.000
