op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,720.698,1388.538,0.031,40.000,646.250,50.035,0.000,628.000
enc-1st-layernorm,38.117,118.577,40.000,80.000,0.000,40.031,0.000,160.000
enc-attention-qkv,290.000,897.944,80.000,100.000,37.500,60.000,72.000,100.000
enc-attention-score,209.254,402.433,100.000,572.000,0.000,512.000,512.000,60.000
enc-attention-softmax,1512.605,2071.720,572.000,572.000,0.000,512.000,512.000,1024.000
enc-attention-dropout,409.633,333.261,572.000,572.000,0.000,640.000,0.000,1024.000
enc-attention-context,208.098,385.773,572.000,60.000,0.000,20.000,20.000,532.000
enc-attention-dense,611.579,117.767,60.000,80.010,12.500,40.000,0.000,60.000
enc-post-attention-dropout,110.894,72.539,80.010,40.000,0.000,50.000,40.000,160.000
enc-2nd-layernorm,36.424,118.750,40.000,80.000,0.000,40.031,0.000,160.000
enc-MLP-GEMM-1,320.733,884.509,80.000,120.020,50.000,80.000,0.000,120.000
enc-MLP-gelu,54.890,111.586,120.020,120.000,0.000,80.000,0.000,294.000
enc-MLP-GEMM-2,859.588,318.390,120.000,80.010,50.000,40.000,0.000,120.000
enc-post-MLP-dropout,112.402,68.700,80.010,40.000,0.000,50.000,40.000,160.000
final-layernorm,76.085,380.021,40.000,40.000,0.000,80.031,0.000,80.000
gpt-post-process,6448.478,4571.986,40.000,0.000,626.250,1002.051,0.000,0.000
