op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,2896.267,3641.188,0.031,112.000,371.656,168.070,335.930,1040.000
enc-1st-layernorm,355.017,1067.865,112.000,224.000,0.000,112.062,0.000,896.000
enc-attention-qkv,5238.360,5763.465,224.000,280.000,147.000,168.000,112.000,616.000
enc-attention-score,1110.023,1787.007,280.000,1064.000,0.000,896.000,896.000,1960.000
enc-attention-softmax,1206.255,1628.369,1064.000,1064.000,0.000,896.000,0.000,2688.000
enc-attention-dropout,2041.042,1710.820,1064.000,1064.000,0.000,1344.000,0.000,3584.000
enc-attention-context,1018.882,1910.734,1064.000,168.000,0.000,56.000,56.000,1064.000
enc-attention-dense,2585.757,1455.051,168.000,224.014,49.000,112.000,0.000,392.000
enc-post-attention-dropout,786.370,391.096,224.014,112.000,0.000,168.000,112.000,558.000
enc-2nd-layernorm,333.476,1023.597,112.000,224.000,0.000,112.062,0.000,896.000
enc-MLP-GEMM-1,6548.619,6772.763,224.000,336.027,196.000,224.000,0.000,784.000
enc-MLP-gelu,402.617,726.664,336.027,336.000,0.000,224.000,0.000,1008.000
enc-MLP-GEMM-2,7268.065,5909.103,336.000,224.014,196.000,112.000,0.000,560.000
enc-post-MLP-dropout,766.319,390.887,224.014,112.000,0.000,168.000,112.000,558.000
final-layernorm,628.710,765.193,112.000,112.000,0.000,224.062,0.000,448.000
gpt-post-process,16432.816,13525.313,112.000,0.000,343.656,786.102,393.898,0.000
