op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,1122.057,2175.564,0.031,40.000,323.125,60.070,119.930,562.000
enc-1st-layernorm,90.528,324.792,40.000,80.000,0.000,40.062,0.000,320.000
enc-attention-qkv,2121.550,863.558,60.000,160.000,18.750,120.000,120.000,380.000
enc-attention-score,593.764,978.166,120.000,592.000,0.000,512.000,512.000,1084.000
enc-attention-softmax,695.831,942.922,592.000,592.000,0.000,512.000,0.000,1536.000
enc-attention-dropout,1169.109,981.343,592.000,592.000,0.000,768.000,0.000,2048.000
enc-attention-context,555.897,1035.947,592.000,80.000,0.000,20.000,20.000,572.000
enc-attention-dense,699.967,203.824,80.000,100.005,6.250,40.000,0.000,140.000
enc-post-attention-dropout,289.881,151.801,100.005,60.000,0.000,60.000,40.000,270.000
enc-2nd-layernorm,90.963,327.516,60.000,100.000,0.000,40.062,0.000,320.000
enc-MLP-GEMM-1,945.455,1270.306,100.000,140.010,25.000,80.000,0.000,280.000
enc-MLP-gelu,148.034,282.037,140.010,140.000,0.000,80.000,0.000,430.000
enc-MLP-GEMM-2,1211.774,789.875,140.000,100.005,25.000,40.000,0.000,200.000
enc-post-MLP-dropout,284.827,147.873,100.005,60.000,0.000,60.000,40.000,270.000
final-layernorm,188.822,655.490,60.000,60.000,0.000,80.062,0.000,160.000
gpt-post-process,25060.636,15317.094,60.000,20.000,313.125,2004.102,1001.898,0.000
