op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,587.124,1679.254,0.016,20.000,323.125,30.035,59.965,442.000
enc-1st-layernorm,79.483,176.263,20.000,40.000,0.000,20.031,0.000,160.000
enc-attention-qkv,1148.963,458.032,30.000,80.000,18.750,60.000,60.000,190.000
enc-attention-score,296.879,507.128,60.000,296.000,0.000,256.000,256.000,542.000
enc-attention-softmax,353.485,482.202,296.000,296.000,0.000,256.000,0.000,768.000
enc-attention-dropout,590.461,497.478,296.000,296.000,0.000,384.000,0.000,1024.000
enc-attention-context,289.190,534.117,296.000,40.000,0.000,10.000,10.000,286.000
enc-attention-dense,468.284,133.562,40.000,50.005,6.250,20.000,0.000,70.000
enc-post-attention-dropout,148.672,107.276,50.005,30.000,0.000,30.000,10.000,160.000
enc-2nd-layernorm,80.878,170.910,30.000,50.000,0.000,20.031,0.000,160.000
enc-MLP-GEMM-1,481.081,773.984,50.000,70.010,25.000,40.000,0.000,140.000
enc-MLP-gelu,78.458,159.627,70.010,70.000,0.000,40.000,0.000,270.000
enc-MLP-GEMM-2,707.060,398.129,70.000,50.005,25.000,20.000,0.000,100.000
enc-post-MLP-dropout,145.882,101.483,50.005,30.000,0.000,30.000,10.000,160.000
final-layernorm,112.700,669.855,30.000,30.000,0.000,40.031,0.000,80.000
gpt-post-process,12789.351,7901.669,30.000,10.000,313.125,1002.051,501.949,0.000
