op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,3023.887,4764.926,0.125,160.000,646.250,200.141,439.859,1124.000
enc-1st-layernorm,270.039,1133.287,160.000,320.000,0.000,160.125,0.000,640.000
enc-attention-qkv,2933.103,3954.375,320.000,400.000,37.500,240.000,160.000,400.000
enc-attention-score,1896.751,4044.831,400.000,2288.000,0.000,2048.000,2048.000,240.000
enc-attention-softmax,11715.603,18985.403,2288.000,2288.000,0.000,2048.000,2048.000,4096.000
enc-attention-dropout,3995.287,3490.764,2288.000,2288.000,0.000,2560.000,0.000,4096.000
enc-attention-context,2166.390,3809.267,2288.000,240.000,0.000,80.000,80.000,2128.000
enc-attention-dense,1952.428,811.243,240.000,320.010,12.500,160.000,0.000,240.000
enc-post-attention-dropout,961.816,541.329,320.010,160.000,0.000,200.000,160.000,430.000
enc-2nd-layernorm,269.741,1137.698,160.000,320.000,0.000,160.125,0.000,640.000
enc-MLP-GEMM-1,3403.735,4330.629,320.000,480.020,50.000,320.000,0.000,480.000
enc-MLP-gelu,536.066,1002.169,480.020,480.000,0.000,320.000,0.000,750.000
enc-MLP-GEMM-2,4282.421,3117.526,480.000,320.010,50.000,160.000,0.000,480.000
enc-post-MLP-dropout,941.181,523.913,320.010,160.000,0.000,200.000,160.000,430.000
final-layernorm,534.409,704.509,160.000,160.000,0.000,320.125,0.000,320.000
gpt-post-process,62666.404,44672.972,160.000,0.000,626.250,4008.203,0.000,0.000
