op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,840.300,2860.689,0.031,40.000,646.250,50.035,0.000,628.000
enc-1st-layernorm,74.911,300.056,40.000,80.000,0.000,40.031,0.000,160.000
enc-attention-qkv,764.310,1250.350,80.000,100.000,37.500,60.000,60.000,100.000
enc-attention-score,489.193,1012.969,100.000,572.000,0.000,512.000,512.000,60.000
enc-attention-softmax,2932.614,4768.991,572.000,572.000,0.000,512.000,512.000,1024.000
enc-attention-dropout,1012.069,878.334,572.000,572.000,0.000,640.000,0.000,1024.000
enc-attention-context,558.716,963.032,572.000,60.000,0.000,20.000,20.000,532.000
enc-attention-dense,631.076,211.787,60.000,80.010,12.500,40.000,0.000,60.000
enc-post-attention-dropout,250.477,145.334,80.010,40.000,0.000,50.000,30.000,160.000
enc-2nd-layernorm,72.783,292.087,40.000,80.000,0.000,40.031,0.000,160.000
enc-MLP-GEMM-1,795.901,1267.707,80.000,120.020,50.000,80.000,0.000,120.000
enc-MLP-gelu,139.976,275.755,120.020,120.000,0.000,80.000,0.000,270.000
enc-MLP-GEMM-2,1184.696,788.260,120.000,80.010,50.000,40.000,0.000,120.000
enc-post-MLP-dropout,243.789,140.685,80.010,40.000,0.000,50.000,30.000,160.000
final-layernorm,140.631,656.170,40.000,40.000,0.000,80.031,0.000,80.000
gpt-post-process,16034.323,11647.844,40.000,0.000,626.250,1002.051,0.000,0.000
