op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,716.627,1645.237,0.125,64.000,204.375,80.000,176.000,270.000
enc-1st-layernorm,110.698,419.027,64.000,128.000,0.000,64.125,0.000,256.000
enc-attention-qkv,1465.875,1083.612,128.000,256.000,12.000,192.000,192.000,256.000
enc-attention-score,1827.389,3592.992,256.000,2176.000,0.000,2048.000,2048.000,192.000
enc-attention-softmax,11710.602,18984.312,2176.000,2176.000,0.000,2048.000,2048.000,4096.000
enc-attention-dropout,4018.009,3491.473,2176.000,2176.000,0.000,2560.000,0.000,4096.000
enc-attention-context,1985.121,3624.046,2176.000,128.000,0.000,64.000,64.000,2112.000
enc-attention-dense,287.306,289.738,128.000,128.004,4.000,64.000,0.000,128.000
enc-post-attention-dropout,392.956,223.583,128.004,64.000,0.000,80.000,64.000,236.000
enc-2nd-layernorm,111.252,436.437,64.000,128.000,0.000,64.125,0.000,256.000
enc-MLP-GEMM-1,1109.582,1066.488,128.000,320.016,16.000,256.000,0.000,320.000
enc-MLP-gelu,432.658,835.139,320.016,320.000,0.000,256.000,0.000,620.000
enc-MLP-GEMM-2,1066.095,1132.971,320.000,128.004,16.000,64.000,0.000,320.000
enc-post-MLP-dropout,392.944,222.969,128.004,64.000,0.000,80.000,64.000,236.000
final-layernorm,219.190,637.197,64.000,64.000,0.000,128.125,0.000,128.000
gpt-post-process,32267.612,17106.760,64.000,0.000,196.375,3142.203,0.000,0.000
