op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,4520.655,4671.568,0.062,224.000,399.656,280.070,671.930,1040.000
enc-1st-layernorm,540.918,1859.230,224.000,448.000,0.000,224.062,0.000,896.000
enc-attention-qkv,11682.671,5545.306,280.000,896.000,147.000,672.000,672.000,728.000
enc-attention-score,954.401,1891.589,560.000,1344.000,0.000,896.000,896.000,168.000
enc-attention-softmax,5128.831,8323.580,1344.000,1344.000,0.000,896.000,896.000,1792.000
enc-attention-dropout,1762.742,1532.167,1344.000,1344.000,0.000,1120.000,0.000,1792.000
enc-attention-context,1012.617,1802.039,1344.000,448.000,0.000,56.000,56.000,952.000
enc-attention-dense,3450.638,1729.167,448.000,616.027,49.000,224.000,0.000,280.000
enc-post-attention-dropout,1312.822,728.881,616.027,392.000,0.000,280.000,224.000,558.000
enc-2nd-layernorm,538.647,1784.223,392.000,616.000,0.000,224.062,0.000,896.000
enc-MLP-GEMM-1,6665.760,7962.215,616.000,616.027,196.000,224.000,0.000,448.000
enc-MLP-gelu,373.304,710.189,616.027,616.000,0.000,224.000,0.000,558.000
enc-MLP-GEMM-2,8258.653,5973.929,616.000,616.027,196.000,224.000,0.000,448.000
enc-post-MLP-dropout,1297.081,730.592,616.027,392.000,0.000,280.000,224.000,558.000
final-layernorm,898.850,1261.586,392.000,392.000,0.000,448.062,0.000,448.000
gpt-post-process,13209.099,13242.972,392.000,168.000,343.656,392.852,1.148,0.000
