op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,455.171,4404.187,0.031,40.000,1272.500,50.000,0.000,1254.000
enc-1st-layernorm,74.971,303.823,40.000,80.000,0.000,40.031,0.000,160.000
enc-attention-qkv,1591.027,1392.668,80.000,160.000,75.000,120.000,0.000,0.000
enc-attention-score,962.275,2032.638,160.000,1104.000,0.000,1024.000,1024.000,120.000
enc-attention-softmax,5856.943,9505.504,1104.000,1104.000,0.000,1024.000,1024.000,2048.000
enc-attention-dropout,2012.867,1750.112,1104.000,1104.000,0.000,1280.000,0.000,2048.000
enc-attention-context,1096.022,1910.090,1104.000,80.000,0.000,40.000,40.000,1064.000
enc-attention-dense,417.972,418.246,80.000,80.010,25.000,40.000,0.000,0.000
enc-post-attention-dropout,251.424,144.273,80.010,40.000,0.000,50.000,30.000,160.000
enc-2nd-layernorm,74.768,304.300,40.000,80.000,0.000,40.031,0.000,160.000
enc-MLP-GEMM-1,1686.096,1557.159,80.000,200.039,100.000,160.000,0.000,0.000
enc-MLP-gelu,268.316,519.127,200.039,200.000,0.000,160.000,0.000,430.000
enc-MLP-GEMM-2,1619.983,1670.986,200.000,80.010,100.000,40.000,0.000,0.000
enc-post-MLP-dropout,249.463,140.709,80.010,40.000,0.000,50.000,30.000,160.000
final-layernorm,142.920,636.399,40.000,40.000,0.000,80.031,0.000,80.000
gpt-post-process,31381.565,21799.076,40.000,0.000,1252.500,2004.051,0.000,0.000
